Aspinīya Object,Physics/Cosmology,Mathematics/CT,Computation,Poetics/Music
e,"Entropy, Growth (Boltzmann, Planck)",Exponential Type / Growth,Recursion Engine,Breath / Invocation
π,"Curvature, Orbits (General Relativity)",Circle Group / π-Group,Control Loop / Orbital Logic,Return / Loop / Closure
i,"Spin, Phase (Quantum Mechanics)",Complex Plane / Phase Rotation,Imaginary Unit / Quantum Bit,Voice / Vibration / Tone
0,"Vacuum, Singularity",Initial Object,Null,Silence / Pause
1,Identity Element,Terminal Object,Identity Function,Presence
χ,"Chirality, Arrow of Time",Natural Transformation / Orientation,Control Flow / If/Then,Intention / Turning Point
Carbon,Fundamental Element of Organic Chemistry,Minimal Generative Node,Recursive Type Constructor,Recursion into Harmony
Vowel,Boson (Field Carrier),Function Type / Morphism,Higher-order Function,Carrier of Tone
Consonant,Fermion (Matter Particle),Object / Value,Base Type / Operand,Material Texture
Neutron,Dark Matter / Type Constraint,Constraint / Noncomputable Type,Constraint / Bitmask,Unheard / Silent Constraint
Hamsadhwani,Minimal Interface Group,Group Generator,Minimal DSL,The Group of Recursion
Yaman,Universal Turing Category,Symmetry Group,Execution Grammar,The Key of All Expression
Sa,Root Frequency,Identity Morphism,Root Token,Drone
Ga,Quantum Superposition,Superposed State,Combinator,Sympathetic Note
Ni,Phase Shift,Phase Space Transition,Monadic Phase,Threshold of Resolve
Loop,Closed Recursion / Orbit,Endofunctor,While Loop,Phrase
Spinor,Spin-½ Particle,Spinor Field,Spinlock / Phase Delay,Inflection
Prime,Irreducible Constraint,Prime Object / Unit,Modulus Operator,Meter / Beat Constraint
Scroll,Type Layer,Functor,Source File / Interface,Stanza
Hymn,Observable Poetic Representation,Natural Language Morphism,Executable Representation,Song
